filename;final_bounding_area;runtime;total_blocks;final_num_blocks;num_attempts
LBMA_13.txt;108;600.3330671787263;5;5;1
LBMA_46.txt;112;601.8943829536437;5;5;2
LBMA_43.txt;51;602.076221704483;2;2;1
LBMA_57.txt;78;601.6122105121613;4;4;1
LBMA_18.txt;114;601.1661109924316;5;5;1
LBMA_40.txt;117;600.6477198600769;6;6;2
LBMA_24.txt;112;602.3043959140778;5;5;2
LBMA_37.txt;98;602.4932093620299;4;4;2
LBMA_14.txt;99;600.2038366794586;4;4;2
LBMA_16.txt;119;600.2848749160768;5;5;1
LBMA_1.txt;77;601.1030809879302;4;4;1
LBMA_50.txt;207;603.7817361354828;8;8;1
LBMA_58.txt;187;601.2296741008759;8;8;2
LBMA_6.txt;75;601.5387711524962;3;3;2
LBMA_28.txt;48;601.0431671142577;3;3;1
LBMA_54.txt;135;601.6513552665709;5;5;1
LBMA_41.txt;253;600.3146574497222;10;10;1
LBMA_0.txt;84;600.3610265254973;4;4;1
LBMA_15.txt;78;600.7684717178345;4;4;2
LBMA_51.txt;209;602.4213447570802;10;10;1
LBMA_44.txt;60;600.8605220317842;3;3;2
LBMA_26.txt;224;602.076283454895;9;9;1
LBMA_3.txt;253;604.626353263855;10;10;1
LBMA_38.txt;168;601.5904533863068;6;6;1
LBMA_42.txt;102;602.4530863761903;5;5;1
LBMA_30.txt;52;600.3264305591582;3;3;2
LBMA_12.txt;45;600.138906955719;2;2;2
LBMA_10.txt;143;605.6429884433746;5;5;2
LBMA_53.txt;161;602.5197503566743;7;7;1
LBMA_35.txt;210;603.2267320156097;8;8;2
LBMA_39.txt;32;601.4206547737123;2;2;2
LBMA_25.txt;65;600.5765335559845;3;3;2
LBMA_8.txt;209;600.1213765144347;8;8;1
LBMA_17.txt;27;600.0111794471742;1;1;1
LBMA_23.txt;85;601.4073932170867;3;3;1
LBMA_9.txt;156;602.5923113822938;7;7;1
LBMA_2.txt;208;606.9921355247498;8;8;1
LBMA_56.txt;75;602.3040816783905;3;3;1
LBMA_48.txt;114;601.4726593494415;5;5;1
LBMA_32.txt;117;600.3003342151643;5;5;1
LBMA_7.txt;144;601.4776744842528;7;7;2
LBMA_29.txt;150;600.2770419120789;6;6;1
LBMA_27.txt;112;601.7422857284546;4;4;1
LBMA_19.txt;250;606.9437997341156;11;11;2
LBMA_11.txt;299;601.071191072464;11;11;1
LBMA_21.txt;66;601.1047627925873;3;3;2
LBMA_55.txt;96;602.2075817584991;4;4;2
LBMA_20.txt;88;601.5951976776122;4;4;1
LBMA_49.txt;204;600.1634023189545;9;9;1
LBMA_31.txt;26;600.1999292373657;1;1;1
LBMA_47.txt;88;600.8804609775542;4;4;2
LBMA_36.txt;105;600.5972633361816;4;4;1
LBMA_59.txt;39;601.7220778465271;2;2;1
LBMA_22.txt;247;600.9191133975983;11;11;1
LBMA_45.txt;253;603.3157773017882;9;9;1
LBMA_5.txt;105;602.4495816230774;5;5;2
LBMA_4.txt;160;601.6003377437593;6;6;2
LBMA_34.txt;140;600.9929192066193;5;5;1
LBMA_52.txt;96;600.1676287651063;4;4;2
LBMA_33.txt;84;600.5248692035675;4;4;1
