filename;final_bounding_area;width;runtime;total_blocks;final_num_blocks;num_attempts
MBLA_8.txt;182;14;27.012.901.306.152.300;16;16;1
MBLA_10.txt;168;13;4.037.937.636.375.420;19;19;2
MBLA_18.txt;168;12;4.010.749.962.329.860;16;16;2
MBLA_45.txt;288;16;40.263.831.639.289.800;32;32;3
MBLA_11.txt;374;17;40.025.114.583.969.100;42;42;2
MBLA_44.txt;176;11;1.349.278.473.854.060;19;19;1
MBLA_40.txt;182;13;41.384.198.665.618.900;19;19;1
MBLA_47.txt;294;14;601.046.245.098.114;36;36;1
MBLA_6.txt;182;13;3.460.362.958.908.080;20;20;1
MBLA_16.txt;440;21;41.326.672.315.597.500;53;53;3
MBLA_32.txt;480;22;40.901.062.035.560.600;57;57;1
MBLA_51.txt;441;21;40.526.601.600.646.900;53;48;3
MBLA_59.txt;220;16;4.016.496.965.885.160;30;30;1
MBLA_7.txt;270;17;4.072.931.368.350.980;32;30;2
MBLA_46.txt;204;12;40.998.171.496.391.200;26;26;2
MBLA_29.txt;306;18;19.004.130.840.301.500;31;31;1
MBLA_57.txt;506;22;40.559.397.053.718.500;58;58;2
MBLA_24.txt;270;16;8.203.533.577.919.000;32;32;1
MBLA_38.txt;234;14;408.883.154.630.661;29;29;2
MBLA_15.txt;420;21;40.853.169.679.641.700;45;45;2
MBLA_30.txt;182;13;3.998.780.488.967.890;20;20;1
MBLA_3.txt;192;13;4.065.840.089.321.130;28;28;2
MBLA_31.txt;420;21;4.173.433.437.347.410;47;47;1
MBLA_17.txt;572;24;41.957.392.501.831.000;65;62;3
MBLA_0.txt;285;15;25.591.490.268.707.200;34;34;1
MBLA_21.txt;462;22;55.199.554.204.940.700;55;47;1
MBLA_22.txt;225;15;3.043.198.561.668.390;23;23;1
MBLA_13.txt;272;16;9.288.864.374.160.760;28;28;2
MBLA_37.txt;207;13;4.021.286.494.731.900;25;25;2
MBLA_35.txt;182;13;4.023.033.607.006.070;21;21;1
MBLA_54.txt;224;16;4.783.608.031.272.880;27;27;2
MBLA_42.txt;112;8;45.013.699.531.555.100;10;10;1
MBLA_20.txt;418;20;4.078.845.419.883.720;42;40;2
MBLA_12.txt;208;11;12.522.121.906.280.500;25;25;2
MBLA_34.txt;380;19;40.254.823.327.064.500;42;39;3
MBLA_56.txt;165;12;4.092.566.277.980.800;21;21;2
MBLA_36.txt;418;22;411.846.999.168.396;52;52;2
MBLA_19.txt;204;13;9.070.367.336.273.190;23;23;1
MBLA_33.txt;342;19;1.231.122.543.811.790;36;36;1
MBLA_28.txt;182;14;400.442.547.082.901;20;19;2
MBLA_41.txt;210;15;27.325.971.364.974.900;25;25;1
MBLA_4.txt;552;23;4.172.455.594.539.640;62;62;2
MBLA_1.txt;320;17;4.038.820.104.598.990;40;40;3
MBLA_2.txt;234;16;4.040.643.892.288.200;28;28;1
MBLA_5.txt;306;18;4.062.495.799.064.630;32;32;2
MBLA_39.txt;420;20;7.169.668.722.152.700;42;41;1
MBLA_27.txt;196;13;7.885.987.520.217.890;25;25;3
MBLA_49.txt;400;20;38.386.879.301.071.100;49;45;2
MBLA_50.txt;396;19;20.808.311.939.239.500;45;45;1
MBLA_14.txt;252;16;4.005.888.862.609.860;34;33;1
MBLA_9.txt;320;16;10.101.969.957.351.600;34;34;1
MBLA_23.txt;380;20;4.063.703.806.400.290;41;41;1
MBLA_43.txt;336;16;41.107.058.119.773.800;39;39;2
MBLA_55.txt;192;12;5.142.453.908.920.280;21;21;3
MBLA_52.txt;374;17;4.069.110.445.976.250;36;36;1
MBLA_26.txt;168;14;22.378.403.186.798.000;25;25;2
MBLA_48.txt;224;14;954.542.157.649.994;27;24;2
MBLA_25.txt;240;15;17.457.473.278.045.600;25;25;1
MBLA_53.txt;176;12;404.863.267.660.141;19;19;1
MBLA_58.txt;216;12;1.272.330.904.006.950;26;26;2
